draws,lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,b0,b1
114,4278.907,0.866,0.563,2.0,7.0,0.0,-4277.316,4.3,-0.284
115,4278.472,0.924,0.567,3.0,7.0,0.0,-4278.374,4.308,-0.366
116,4279.014,0.207,0.562,2.0,3.0,0.0,-4269.391,4.308,-0.304
117,4278.281,0.88,0.396,3.0,7.0,0.0,-4277.814,4.261,-0.334
118,4278.892,0.969,0.563,2.0,7.0,0.0,-4278.409,4.289,-0.266
119,4279.23,1.0,0.567,2.0,7.0,0.0,-4278.402,4.285,-0.274
120,4279.014,0.754,0.562,1.0,3.0,0.0,-4278.009,4.308,-0.304
121,4277.867,0.916,0.396,2.0,3.0,0.0,-4276.938,4.295,-0.249
122,4277.514,0.876,0.563,2.0,3.0,0.0,-4277.446,4.253,-0.339
123,4279.471,1.0,0.567,1.0,3.0,0.0,-4279.246,4.284,-0.288
124,4279.508,0.917,0.562,2.0,7.0,0.0,-4278.148,4.262,-0.267
125,4276.18,0.913,0.396,2.0,3.0,0.0,-4275.921,4.296,-0.224
126,4277.638,0.969,0.563,2.0,7.0,0.0,-4274.604,4.214,-0.18
127,4278.239,0.741,0.567,1.0,3.0,0.0,-4278.187,4.297,-0.261
128,4279.326,0.943,0.562,1.0,3.0,0.0,-4279.227,4.251,-0.286
129,4274.782,1.0,0.396,3.0,7.0,0.0,-4274.014,4.31,-0.432
130,4278.85,1.0,0.563,2.0,3.0,0.0,-4277.317,4.232,-0.275
131,4279.402,1.0,0.567,2.0,3.0,0.0,-4278.359,4.26,-0.294
132,4279.237,0.973,0.562,2.0,7.0,0.0,-4278.404,4.245,-0.242
133,4278.577,0.984,0.396,3.0,11.0,0.0,-4274.304,4.215,-0.214
134,4278.509,0.971,0.563,2.0,3.0,0.0,-4278.486,4.259,-0.225
135,4278.564,0.904,0.567,2.0,3.0,0.0,-4278.523,4.242,-0.303
136,4278.756,0.685,0.562,2.0,3.0,0.0,-4277.247,4.238,-0.289
137,4278.317,0.946,0.396,3.0,7.0,0.0,-4277.974,4.241,-0.207
138,4278.194,0.463,0.563,2.0,3.0,0.0,-4273.593,4.243,-0.206
139,4278.259,0.968,0.567,2.0,3.0,0.0,-4278.128,4.299,-0.263
140,4278.988,0.997,0.562,2.0,7.0,0.0,-4277.849,4.313,-0.314
141,4278.744,1.0,0.396,2.0,3.0,0.0,-4278.187,4.218,-0.245
142,4279.224,0.937,0.563,2.0,3.0,0.0,-4277.842,4.237,-0.246
143,4279.451,0.941,0.567,1.0,3.0,0.0,-4278.093,4.268,-0.302
144,4278.753,0.998,0.562,3.0,7.0,0.0,-4278.642,4.3,-0.354
145,4278.132,0.995,0.396,3.0,15.0,0.0,-4277.793,4.322,-0.38
146,4279.344,0.91,0.563,2.0,3.0,0.0,-4278.738,4.245,-0.27
147,4279.396,0.993,0.567,2.0,3.0,0.0,-4279.383,4.286,-0.284
148,4278.753,0.473,0.562,1.0,3.0,0.0,-4275.734,4.3,-0.354
149,4277.374,0.868,0.396,1.0,3.0,0.0,-4275.86,4.358,-0.371
150,4279.344,0.814,0.563,1.0,3.0,0.0,-4278.655,4.245,-0.27
151,4279.009,0.881,0.567,2.0,3.0,0.0,-4278.51,4.27,-0.323
152,4278.414,0.952,0.562,3.0,7.0,0.0,-4277.621,4.332,-0.332
153,4277.48,0.955,0.396,3.0,7.0,0.0,-4276.278,4.349,-0.393
154,4277.875,0.863,0.563,2.0,3.0,0.0,-4277.531,4.235,-0.194
155,4277.389,0.877,0.567,2.0,5.0,0.0,-4275.974,4.244,-0.191
156,4277.629,0.912,0.562,4.0,15.0,0.0,-4277.545,4.34,-0.32
157,4278.533,0.981,0.396,3.0,7.0,0.0,-4276.463,4.314,-0.366
158,4277.851,0.904,0.563,3.0,7.0,0.0,-4276.457,4.246,-0.201
159,4279.079,1.0,0.567,3.0,15.0,0.0,-4276.696,4.262,-0.312
160,4278.095,0.986,0.562,2.0,3.0,0.0,-4277.324,4.248,-0.322
161,4278.586,1.0,0.396,1.0,1.0,0.0,-4278.509,4.313,-0.364
162,4279.197,0.968,0.563,3.0,7.0,0.0,-4277.763,4.263,-0.308
163,4279.382,0.998,0.567,2.0,7.0,0.0,-4278.892,4.256,-0.29
164,4278.978,0.742,0.562,2.0,3.0,0.0,-4276.868,4.276,-0.253
165,4277.961,0.99,0.396,2.0,3.0,0.0,-4277.896,4.346,-0.36
166,4279.133,0.982,0.563,1.0,1.0,0.0,-4279.021,4.264,-0.313
167,4278.374,0.864,0.567,2.0,3.0,0.0,-4278.171,4.297,-0.263
168,4278.992,0.972,0.562,3.0,7.0,0.0,-4278.543,4.251,-0.233
169,4277.882,1.0,0.396,2.0,3.0,0.0,-4277.656,4.341,-0.384
170,4278.823,0.951,0.563,2.0,7.0,0.0,-4278.177,4.242,-0.294
171,4279.149,0.972,0.567,2.0,5.0,0.0,-4277.721,4.3,-0.338
172,4278.638,0.912,0.562,2.0,7.0,0.0,-4277.7,4.28,-0.249
173,4279.247,0.918,0.396,4.0,15.0,0.0,-4275.262,4.25,-0.288
174,4278.04,0.998,0.563,2.0,3.0,0.0,-4277.78,4.223,-0.193
175,4279.149,0.472,0.567,1.0,3.0,0.0,-4276.675,4.3,-0.338
176,4279.133,0.921,0.562,2.0,7.0,0.0,-4277.69,4.235,-0.264
177,4279.456,0.998,0.396,2.0,7.0,0.0,-4278.598,4.292,-0.308
178,4278.36,0.999,0.563,3.0,15.0,0.0,-4278.0,4.334,-0.337
179,4277.371,0.576,0.567,3.0,7.0,0.0,-4273.364,4.197,-0.255
180,4279.076,0.877,0.562,2.0,7.0,0.0,-4276.96,4.299,-0.341
181,4279.056,0.967,0.396,3.0,7.0,0.0,-4278.852,4.303,-0.343
182,4276.552,0.852,0.563,2.0,3.0,0.0,-4276.408,4.361,-0.336
183,4278.38,0.964,0.567,1.0,3.0,0.0,-4276.982,4.213,-0.205
184,4278.913,0.929,0.562,2.0,3.0,0.0,-4278.507,4.306,-0.35
185,4278.815,0.976,0.396,1.0,3.0,0.0,-4278.377,4.322,-0.345
186,4277.777,0.908,0.563,2.0,7.0,0.0,-4269.42,4.191,-0.213
187,4278.976,1.0,0.567,2.0,3.0,0.0,-4278.403,4.226,-0.234
188,4278.586,0.995,0.562,2.0,3.0,0.0,-4278.369,4.324,-0.361
189,4276.313,0.536,0.396,2.0,3.0,0.0,-4273.339,4.285,-0.392
190,4278.352,0.872,0.563,3.0,7.0,0.0,-4276.756,4.25,-0.319
191,4279.476,0.957,0.567,2.0,7.0,0.0,-4277.985,4.273,-0.304
192,4277.345,0.788,0.562,2.0,7.0,0.0,-4274.207,4.182,-0.19
193,4277.168,0.998,0.396,2.0,3.0,0.0,-4275.318,4.359,-0.355
194,4279.268,1.0,0.563,2.0,7.0,0.0,-4278.279,4.248,-0.283
195,4278.977,0.859,0.567,1.0,3.0,0.0,-4278.687,4.294,-0.276
196,4279.19,1.0,0.562,2.0,3.0,0.0,-4277.104,4.237,-0.241
197,4276.47,0.873,0.396,1.0,1.0,0.0,-4276.376,4.364,-0.344
198,4279.117,0.754,0.563,2.0,3.0,0.0,-4277.694,4.261,-0.31
199,4276.894,0.974,0.567,4.0,15.0,0.0,-4275.677,4.192,-0.16
200,4279.528,0.992,0.562,4.0,15.0,0.0,-4278.775,4.28,-0.304
201,4278.727,1.0,0.396,2.0,3.0,0.0,-4275.909,4.289,-0.349
202,4278.72,0.984,0.563,2.0,3.0,0.0,-4278.532,4.315,-0.305
203,4277.938,1.0,0.567,2.0,3.0,0.0,-4276.531,4.195,-0.214
204,4278.83,0.804,0.562,2.0,3.0,0.0,-4278.25,4.268,-0.327
205,4278.917,0.998,0.396,3.0,15.0,0.0,-4278.605,4.229,-0.264
206,4278.864,0.884,0.563,2.0,3.0,0.0,-4277.974,4.318,-0.348
207,4278.675,0.886,0.567,3.0,7.0,0.0,-4277.098,4.274,-0.337
208,4279.261,0.959,0.562,2.0,3.0,0.0,-4278.553,4.268,-0.257
209,4278.77,0.987,0.396,4.0,15.0,0.0,-4278.044,4.324,-0.339
210,4278.375,0.658,0.563,2.0,3.0,0.0,-4277.32,4.281,-0.352
211,4279.429,0.978,0.567,2.0,3.0,0.0,-4278.529,4.293,-0.314
212,4278.9,0.715,0.562,2.0,5.0,0.0,-4276.894,4.315,-0.314
213,4279.223,0.999,0.396,3.0,11.0,0.0,-4278.734,4.254,-0.244
214,4278.595,0.733,0.563,2.0,3.0,0.0,-4276.501,4.313,-0.364
215,4279.144,0.951,0.567,2.0,3.0,0.0,-4279.051,4.288,-0.334
216,4278.892,0.995,0.562,3.0,7.0,0.0,-4278.737,4.257,-0.234
217,4279.078,0.97,0.396,3.0,11.0,0.0,-4278.43,4.272,-0.323
218,4279.011,0.905,0.563,3.0,7.0,0.0,-4277.948,4.29,-0.272
219,4279.47,0.938,0.567,2.0,3.0,0.0,-4278.82,4.279,-0.31
220,4278.462,0.892,0.562,3.0,15.0,0.0,-4275.594,4.303,-0.274
221,4279.323,0.993,0.396,3.0,9.0,0.0,-4278.283,4.263,-0.255
222,4277.471,0.763,0.563,3.0,7.0,0.0,-4273.926,4.26,-0.348
223,4279.12,0.884,0.567,2.0,3.0,0.0,-4278.456,4.305,-0.339
224,4279.364,1.0,0.562,2.0,7.0,0.0,-4278.407,4.298,-0.312
225,4279.322,0.997,0.396,4.0,15.0,0.0,-4279.183,4.299,-0.307
226,4279.482,0.988,0.563,2.0,7.0,0.0,-4276.802,4.256,-0.28
227,4278.503,0.973,0.567,2.0,3.0,0.0,-4278.494,4.332,-0.352
228,4278.93,0.979,0.562,3.0,15.0,0.0,-4278.765,4.237,-0.225
229,4279.372,1.0,0.396,3.0,7.0,0.0,-4279.281,4.297,-0.319
230,4279.389,0.929,0.563,2.0,3.0,0.0,-4279.099,4.248,-0.273
231,4278.33,0.821,0.567,2.0,3.0,0.0,-4276.885,4.333,-0.367
232,4279.259,1.0,0.562,3.0,7.0,0.0,-4278.898,4.239,-0.263
233,4278.977,0.912,0.396,2.0,3.0,0.0,-4278.66,4.283,-0.337
234,4279.336,0.85,0.563,2.0,7.0,0.0,-4278.559,4.263,-0.303
235,4278.494,0.951,0.567,2.0,3.0,0.0,-4278.024,4.332,-0.349
236,4278.681,0.86,0.562,2.0,7.0,0.0,-4277.812,4.303,-0.281
237,4278.402,0.992,0.396,2.0,5.0,0.0,-4277.511,4.331,-0.366
238,4279.035,0.975,0.563,2.0,3.0,0.0,-4278.966,4.27,-0.25
239,4279.162,0.987,0.567,3.0,7.0,0.0,-4278.404,4.308,-0.332
240,4278.369,0.905,0.562,1.0,1.0,0.0,-4278.153,4.306,-0.277
241,4279.055,0.977,0.396,3.0,7.0,0.0,-4278.044,4.257,-0.239
