draws,lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,b0,b1
138,9758.726,0.912,0.753,3.0,7.0,0.0,-9758.051,4.608,-0.396
139,9759.481,0.982,0.664,1.0,1.0,0.0,-9759.475,4.598,-0.295
140,9758.228,0.996,0.731,2.0,7.0,0.0,-9756.321,4.587,-0.248
141,9758.502,0.912,0.691,2.0,7.0,0.0,-9757.948,4.629,-0.323
142,9759.309,1.0,0.753,3.0,7.0,0.0,-9758.809,4.595,-0.285
143,9755.953,0.687,0.664,2.0,3.0,0.0,-9755.946,4.557,-0.365
144,9757.425,0.944,0.731,2.0,7.0,0.0,-9756.959,4.555,-0.304
145,9758.767,0.978,0.691,2.0,3.0,0.0,-9758.079,4.586,-0.367
146,9758.705,0.957,0.753,2.0,7.0,0.0,-9758.323,4.617,-0.398
147,9758.733,1.0,0.664,2.0,3.0,0.0,-9755.385,4.57,-0.294
148,9758.89,0.929,0.731,2.0,3.0,0.0,-9756.416,4.627,-0.333
149,9759.216,0.956,0.691,3.0,7.0,0.0,-9758.144,4.591,-0.361
150,9758.369,0.993,0.753,2.0,3.0,0.0,-9758.195,4.63,-0.398
151,9756.824,0.808,0.664,3.0,7.0,0.0,-9756.157,4.551,-0.31
152,9758.396,0.854,0.731,3.0,7.0,0.0,-9757.096,4.573,-0.347
153,9759.08,0.998,0.691,2.0,7.0,0.0,-9759.063,4.602,-0.282
154,9759.024,0.994,0.753,2.0,3.0,0.0,-9758.2,4.623,-0.377
155,9756.414,0.954,0.664,2.0,7.0,0.0,-9755.356,4.584,-0.211
156,9757.963,0.981,0.731,2.0,3.0,0.0,-9757.615,4.565,-0.332
157,9759.381,1.0,0.691,2.0,3.0,0.0,-9758.991,4.597,-0.362
158,9759.601,0.894,0.753,2.0,7.0,0.0,-9756.72,4.59,-0.331
159,9755.952,0.973,0.664,1.0,1.0,0.0,-9755.562,4.579,-0.202
160,9759.177,1.0,0.731,2.0,3.0,0.0,-9758.011,4.581,-0.336
161,9759.043,0.99,0.691,2.0,3.0,0.0,-9758.741,4.623,-0.376
162,9758.819,0.752,0.753,2.0,3.0,0.0,-9757.025,4.581,-0.266
163,9758.957,1.0,0.664,2.0,3.0,0.0,-9756.237,4.575,-0.284
164,9759.049,0.979,0.731,2.0,3.0,0.0,-9758.578,4.625,-0.341
165,9759.264,0.998,0.691,3.0,7.0,0.0,-9758.889,4.612,-0.377
166,9758.964,0.971,0.753,2.0,3.0,0.0,-9758.313,4.598,-0.274
167,9759.26,0.946,0.664,2.0,5.0,0.0,-9758.31,4.588,-0.351
168,9759.02,0.953,0.731,2.0,3.0,0.0,-9758.458,4.581,-0.343
169,9759.239,1.0,0.691,2.0,3.0,0.0,-9759.173,4.616,-0.376
170,9757.883,0.926,0.753,2.0,3.0,0.0,-9757.095,4.559,-0.284
171,9759.661,0.999,0.664,2.0,7.0,0.0,-9759.241,4.593,-0.308
172,9758.879,0.987,0.731,2.0,7.0,0.0,-9757.958,4.626,-0.379
173,9758.538,0.917,0.691,2.0,7.0,0.0,-9757.43,4.599,-0.262
174,9759.536,1.0,0.753,2.0,3.0,0.0,-9758.088,4.593,-0.297
175,9759.591,0.984,0.664,2.0,3.0,0.0,-9759.498,4.6,-0.303
176,9759.758,0.882,0.731,2.0,3.0,0.0,-9757.882,4.605,-0.334
177,9758.363,0.844,0.691,2.0,3.0,0.0,-9756.571,4.607,-0.268
178,9759.122,0.916,0.753,2.0,7.0,0.0,-9758.913,4.585,-0.351
179,9759.72,1.0,0.664,2.0,3.0,0.0,-9759.582,4.595,-0.314
180,9759.143,0.964,0.731,2.0,7.0,0.0,-9758.934,4.578,-0.289
181,9758.632,0.953,0.691,3.0,7.0,0.0,-9757.519,4.571,-0.323
182,9759.011,0.996,0.753,2.0,7.0,0.0,-9758.973,4.605,-0.284
183,9759.548,0.991,0.664,2.0,7.0,0.0,-9759.504,4.611,-0.359
184,9757.065,0.873,0.731,2.0,3.0,0.0,-9756.976,4.554,-0.246
185,9758.819,0.944,0.691,2.0,7.0,0.0,-9757.597,4.578,-0.269
186,9759.314,0.977,0.753,3.0,7.0,0.0,-9757.796,4.58,-0.313
187,9759.514,0.974,0.664,3.0,7.0,0.0,-9759.254,4.598,-0.297
188,9758.119,0.877,0.731,2.0,3.0,0.0,-9755.488,4.59,-0.246
189,9759.275,0.997,0.691,2.0,3.0,0.0,-9758.744,4.584,-0.286
190,9759.378,0.989,0.753,3.0,7.0,0.0,-9758.85,4.582,-0.323
191,9759.587,0.997,0.664,2.0,3.0,0.0,-9759.409,4.59,-0.303
