draws,lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,b0,b1
144,9570.971,0.836,0.726,2.0,3.0,0.0,-9569.654,4.18,-0.236
145,9571.035,0.994,0.569,2.0,7.0,0.0,-9567.623,4.187,-0.287
146,9568.154,1.0,0.614,2.0,3.0,0.0,-9567.6,4.23,-0.335
147,9570.52,0.833,0.735,2.0,3.0,0.0,-9570.249,4.202,-0.264
148,9568.818,0.77,0.726,2.0,3.0,0.0,-9568.491,4.166,-0.317
149,9571.143,1.0,0.569,2.0,3.0,0.0,-9571.027,4.189,-0.277
150,9567.511,0.572,0.614,3.0,7.0,0.0,-9563.506,4.122,-0.239
151,9571.22,0.958,0.735,2.0,3.0,0.0,-9570.451,4.181,-0.274
152,9571.282,0.995,0.726,2.0,3.0,0.0,-9568.44,4.18,-0.255
153,9570.945,0.974,0.569,2.0,7.0,0.0,-9570.58,4.163,-0.228
154,9568.385,0.834,0.614,2.0,3.0,0.0,-9564.622,4.222,-0.262
155,9571.211,0.997,0.735,2.0,3.0,0.0,-9571.176,4.178,-0.272
156,9570.168,0.864,0.726,3.0,7.0,0.0,-9569.874,4.176,-0.21
157,9570.432,0.963,0.569,2.0,3.0,0.0,-9570.379,4.163,-0.208
158,9570.485,1.0,0.614,2.0,3.0,0.0,-9568.619,4.205,-0.293
159,9571.277,0.995,0.735,2.0,7.0,0.0,-9571.032,4.174,-0.25
160,9570.436,1.0,0.726,2.0,3.0,0.0,-9570.106,4.158,-0.27
161,9571.193,0.999,0.569,2.0,7.0,0.0,-9570.398,4.174,-0.268
162,9570.879,0.999,0.614,2.0,7.0,0.0,-9570.19,4.158,-0.238
163,9571.18,0.932,0.735,2.0,3.0,0.0,-9570.966,4.182,-0.249
164,9570.561,0.977,0.726,2.0,7.0,0.0,-9569.564,4.204,-0.292
165,9570.845,0.98,0.569,3.0,7.0,0.0,-9570.159,4.197,-0.291
166,9569.946,0.849,0.614,2.0,5.0,0.0,-9569.234,4.204,-0.251
167,9571.112,0.989,0.735,3.0,7.0,0.0,-9570.978,4.164,-0.243
168,9570.596,0.958,0.726,2.0,3.0,0.0,-9570.229,4.185,-0.302
169,9568.033,0.726,0.569,2.0,7.0,0.0,-9566.545,4.136,-0.271
170,9569.894,0.916,0.614,3.0,7.0,0.0,-9568.095,4.187,-0.217
171,9571.186,1.0,0.735,2.0,3.0,0.0,-9571.088,4.171,-0.24
172,9571.104,0.908,0.726,2.0,7.0,0.0,-9569.064,4.181,-0.243
173,9570.18,0.994,0.569,2.0,7.0,0.0,-9568.279,4.179,-0.213
174,9571.185,0.944,0.614,2.0,3.0,0.0,-9569.293,4.188,-0.267
175,9570.617,0.863,0.735,2.0,7.0,0.0,-9569.738,4.197,-0.253
176,9569.985,0.773,0.726,2.0,7.0,0.0,-9568.931,4.163,-0.198
177,9570.836,0.958,0.569,2.0,3.0,0.0,-9569.715,4.172,-0.224
178,9570.387,0.911,0.614,2.0,7.0,0.0,-9569.932,4.149,-0.241
179,9570.172,0.866,0.735,1.0,1.0,0.0,-9570.024,4.201,-0.249
180,9569.131,0.943,0.726,2.0,3.0,0.0,-9568.891,4.134,-0.234
181,9571.005,0.996,0.569,2.0,7.0,0.0,-9570.731,4.169,-0.272
182,9570.987,1.0,0.614,3.0,7.0,0.0,-9570.369,4.181,-0.287
183,9571.239,0.87,0.735,2.0,3.0,0.0,-9569.824,4.171,-0.258
184,9568.029,0.708,0.726,1.0,1.0,0.0,-9567.71,4.129,-0.252
185,9570.769,0.92,0.569,3.0,7.0,0.0,-9567.791,4.175,-0.288
