draws,lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,b0,b1
133,4339.928,1.0,0.606,2.0,3.0,0.0,-4338.877,3.518,-0.06
134,4338.855,0.918,0.579,2.0,3.0,0.0,-4338.623,3.468,0.017
135,4338.348,0.716,0.756,2.0,3.0,0.0,-4337.992,3.512,0.047
136,4339.1,0.949,0.653,2.0,7.0,0.0,-4337.955,3.496,0.039
137,4339.949,0.934,0.606,3.0,7.0,0.0,-4338.593,3.515,-0.003
138,4338.912,1.0,0.579,3.0,7.0,0.0,-4338.709,3.471,0.033
139,4337.651,0.869,0.756,2.0,3.0,0.0,-4336.705,3.511,-0.114
140,4338.651,0.86,0.653,2.0,5.0,0.0,-4337.293,3.506,-0.088
141,4337.14,0.656,0.606,2.0,7.0,0.0,-4336.476,3.51,-0.122
142,4339.434,1.0,0.579,2.0,3.0,0.0,-4338.879,3.489,0.027
143,4337.302,0.87,0.756,1.0,1.0,0.0,-4336.556,3.505,-0.113
144,4339.72,0.994,0.653,2.0,7.0,0.0,-4338.596,3.516,0.007
145,4336.35,0.836,0.606,1.0,1.0,0.0,-4335.896,3.506,-0.129
146,4338.512,0.698,0.579,3.0,7.0,0.0,-4336.151,3.504,0.05
147,4340.161,0.965,0.756,2.0,3.0,0.0,-4337.22,3.514,-0.024
148,4339.417,0.993,0.653,2.0,7.0,0.0,-4338.887,3.496,0.029
149,4334.914,0.702,0.606,1.0,1.0,0.0,-4334.285,3.492,-0.131
150,4339.752,0.991,0.579,3.0,7.0,0.0,-4337.35,3.518,0.003
151,4339.614,0.954,0.756,2.0,3.0,0.0,-4339.556,3.487,0.009
152,4339.875,0.992,0.653,2.0,3.0,0.0,-4339.358,3.497,0.003
153,4340.121,0.973,0.606,2.0,3.0,0.0,-4334.698,3.514,-0.04
154,4337.539,0.887,0.579,2.0,3.0,0.0,-4337.121,3.448,0.021
155,4339.725,0.817,0.756,2.0,3.0,0.0,-4338.926,3.523,-0.001
156,4339.839,0.995,0.653,1.0,1.0,0.0,-4339.828,3.498,0.007
157,4339.948,0.875,0.606,3.0,7.0,0.0,-4336.637,3.497,-0.013
158,4339.685,0.918,0.579,2.0,3.0,0.0,-4336.528,3.533,-0.014
159,4339.725,0.747,0.756,1.0,1.0,0.0,-4339.112,3.523,-0.001
160,4338.626,0.745,0.653,2.0,7.0,0.0,-4337.492,3.51,-0.093
161,4339.985,1.0,0.606,1.0,1.0,0.0,-4339.946,3.499,-0.01
162,4339.456,0.974,0.579,2.0,7.0,0.0,-4339.28,3.515,-0.076
163,4339.742,1.0,0.756,2.0,3.0,0.0,-4339.629,3.525,-0.074
164,4340.158,0.993,0.653,2.0,7.0,0.0,-4338.213,3.513,-0.032
165,4340.12,1.0,0.606,2.0,3.0,0.0,-4339.969,3.513,-0.016
166,4339.268,0.837,0.579,1.0,3.0,0.0,-4337.493,3.55,-0.032
167,4339.933,0.733,0.756,2.0,3.0,0.0,-4338.452,3.512,-0.053
168,4339.738,0.712,0.653,2.0,3.0,0.0,-4337.912,3.546,-0.06
169,4339.1,0.752,0.606,1.0,3.0,0.0,-4338.638,3.493,-0.055
170,4339.191,0.996,0.579,3.0,7.0,0.0,-4338.704,3.475,0.011
171,4339.328,0.658,0.756,2.0,7.0,0.0,-4337.738,3.479,-0.002
172,4340.027,0.994,0.653,2.0,3.0,0.0,-4339.558,3.508,-0.04
173,4335.631,0.871,0.606,2.0,7.0,0.0,-4334.669,3.478,0.112
174,4339.191,0.708,0.579,1.0,3.0,0.0,-4336.898,3.475,0.011
175,4336.809,0.757,0.756,2.0,3.0,0.0,-4336.647,3.446,-0.003
176,4339.913,0.942,0.653,2.0,3.0,0.0,-4339.515,3.532,-0.023
177,4335.964,1.0,0.606,1.0,1.0,0.0,-4335.256,3.471,0.11
178,4339.499,0.998,0.579,2.0,3.0,0.0,-4338.882,3.5,0.025
179,4336.993,1.0,0.756,1.0,1.0,0.0,-4336.175,3.447,-0.001
180,4338.615,0.658,0.653,1.0,3.0,0.0,-4337.44,3.489,-0.063
181,4337.049,1.0,0.606,2.0,3.0,0.0,-4335.591,3.441,0.04
182,4338.603,0.877,0.579,2.0,3.0,0.0,-4338.008,3.493,0.054
183,4338.45,1.0,0.756,1.0,1.0,0.0,-4337.151,3.464,-0.003
184,4340.042,0.977,0.653,2.0,7.0,0.0,-4337.943,3.532,-0.055
185,4336.426,0.971,0.606,2.0,3.0,0.0,-4336.279,3.434,0.041
186,4339.382,1.0,0.579,2.0,3.0,0.0,-4338.644,3.48,0.011
187,4339.04,0.976,0.756,2.0,3.0,0.0,-4338.331,3.48,0.039
188,4340.048,0.98,0.653,2.0,7.0,0.0,-4339.746,3.504,-0.028
189,4335.216,0.796,0.606,3.0,7.0,0.0,-4333.428,3.521,-0.161
190,4339.767,1.0,0.579,2.0,3.0,0.0,-4339.295,3.49,-0.002
191,4338.11,0.413,0.756,2.0,3.0,0.0,-4336.159,3.469,-0.033
192,4340.094,0.94,0.653,2.0,5.0,0.0,-4339.658,3.53,-0.044
193,4337.253,0.998,0.606,3.0,7.0,0.0,-4335.462,3.539,-0.145
194,4339.338,0.904,0.579,2.0,5.0,0.0,-4338.699,3.539,-0.011
195,4340.029,0.905,0.756,2.0,3.0,0.0,-4338.021,3.521,-0.015
196,4340.04,0.972,0.653,3.0,7.0,0.0,-4339.438,3.512,-0.007
197,4339.046,0.997,0.606,2.0,7.0,0.0,-4337.263,3.554,-0.033
198,4339.48,0.978,0.579,2.0,7.0,0.0,-4338.362,3.552,-0.079
199,4339.988,0.975,0.756,2.0,5.0,0.0,-4339.702,3.533,-0.061
200,4339.145,0.943,0.653,2.0,7.0,0.0,-4338.444,3.546,-0.104
201,4340.104,0.955,0.606,2.0,3.0,0.0,-4338.67,3.526,-0.03
202,4340.108,0.941,0.579,2.0,5.0,0.0,-4337.264,3.524,-0.027
203,4339.756,0.908,0.756,1.0,3.0,0.0,-4339.553,3.515,-0.064
204,4339.538,0.919,0.653,2.0,3.0,0.0,-4338.234,3.552,-0.057
205,4340.129,0.989,0.606,1.0,3.0,0.0,-4340.009,3.519,-0.045
206,4339.168,0.923,0.579,3.0,7.0,0.0,-4338.977,3.481,-0.024
207,4339.756,0.797,0.756,1.0,1.0,0.0,-4339.163,3.515,-0.064
208,4337.759,0.882,0.653,2.0,7.0,0.0,-4336.15,3.584,-0.11
209,4339.913,0.903,0.606,3.0,7.0,0.0,-4336.922,3.526,-0.066
210,4339.431,0.999,0.579,2.0,3.0,0.0,-4338.953,3.516,0.017
211,4339.332,0.873,0.756,1.0,1.0,0.0,-4339.254,3.511,-0.076
212,4338.139,1.0,0.653,1.0,1.0,0.0,-4337.72,3.578,-0.104
213,4339.662,0.945,0.606,1.0,1.0,0.0,-4339.658,3.522,-0.076
214,4339.022,0.95,0.579,2.0,3.0,0.0,-4338.811,3.487,-0.047
215,4337.944,0.636,0.756,1.0,1.0,0.0,-4337.829,3.501,-0.096
216,4337.311,0.815,0.653,1.0,1.0,0.0,-4337.236,3.59,-0.094
217,4339.112,0.989,0.606,2.0,3.0,0.0,-4338.997,3.562,-0.069
218,4338.548,0.738,0.579,2.0,3.0,0.0,-4335.101,3.542,0.006
219,4339.318,0.984,0.756,2.0,5.0,0.0,-4338.018,3.521,0.016
220,4339.725,0.903,0.653,2.0,7.0,0.0,-4334.609,3.5,0.015
221,4338.876,0.884,0.606,3.0,7.0,0.0,-4336.603,3.546,-0.009
222,4339.478,0.887,0.579,2.0,3.0,0.0,-4337.007,3.51,0.021
223,4338.842,0.975,0.756,2.0,3.0,0.0,-4338.442,3.509,0.039
224,4339.12,0.975,0.653,2.0,3.0,0.0,-4338.891,3.487,0.039
225,4340.118,0.987,0.606,2.0,3.0,0.0,-4338.32,3.51,-0.016
