draws,lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,b0,b1
170,11327.649,1.0,0.673,2.0,7.0,0.0,-11327.584,4.604,-1.068
171,11326.784,0.935,0.728,2.0,3.0,0.0,-11326.77,4.6,-1.038
172,11327.546,0.924,0.656,2.0,3.0,0.0,-11326.794,4.607,-1.066
173,11327.016,0.991,0.646,2.0,3.0,0.0,-11326.52,4.627,-1.12
174,11326.951,0.77,0.673,2.0,3.0,0.0,-11325.842,4.611,-1.055
175,11327.436,0.948,0.728,2.0,5.0,0.0,-11325.726,4.619,-1.11
176,11326.942,0.764,0.656,3.0,7.0,0.0,-11325.437,4.612,-1.132
177,11326.939,0.986,0.646,1.0,1.0,0.0,-11326.898,4.628,-1.117
178,11324.254,0.791,0.673,2.0,7.0,0.0,-11324.178,4.557,-1.089
179,11324.119,0.696,0.728,2.0,3.0,0.0,-11323.895,4.629,-1.184
180,11327.741,0.996,0.656,3.0,7.0,0.0,-11326.869,4.592,-1.073
181,11326.606,0.822,0.646,2.0,7.0,0.0,-11323.156,4.616,-1.056
182,11327.216,0.969,0.673,2.0,3.0,0.0,-11323.919,4.581,-1.048
183,11325.931,0.974,0.728,2.0,7.0,0.0,-11323.461,4.63,-1.072
184,11327.742,0.983,0.656,2.0,3.0,0.0,-11327.603,4.593,-1.083
185,11327.161,0.922,0.646,2.0,3.0,0.0,-11325.412,4.623,-1.091
186,11327.298,0.888,0.673,2.0,3.0,0.0,-11326.077,4.581,-1.054
187,11327.811,1.0,0.728,2.0,3.0,0.0,-11325.963,4.602,-1.092
188,11327.674,0.994,0.656,2.0,3.0,0.0,-11327.663,4.592,-1.086
189,11325.92,0.919,0.646,2.0,5.0,0.0,-11324.97,4.561,-1.035
190,11326.686,0.744,0.673,2.0,3.0,0.0,-11324.721,4.578,-1.029
191,11327.615,0.953,0.728,2.0,7.0,0.0,-11326.82,4.592,-1.059
192,11327.642,0.947,0.656,2.0,3.0,0.0,-11327.179,4.608,-1.074
193,11325.913,0.97,0.646,2.0,3.0,0.0,-11325.313,4.562,-1.058
194,11326.921,0.966,0.673,2.0,3.0,0.0,-11326.171,4.593,-1.036
195,11327.528,0.935,0.728,1.0,3.0,0.0,-11327.1,4.606,-1.065
196,11326.413,0.669,0.656,1.0,3.0,0.0,-11325.23,4.58,-1.103
197,11326.585,1.0,0.646,1.0,1.0,0.0,-11325.981,4.569,-1.059
198,11325.692,0.935,0.673,2.0,3.0,0.0,-11325.042,4.559,-1.046
199,11327.465,0.986,0.728,2.0,7.0,0.0,-11326.716,4.588,-1.052
200,11327.742,0.984,0.656,2.0,7.0,0.0,-11325.671,4.609,-1.099
201,11327.075,0.987,0.646,2.0,7.0,0.0,-11326.192,4.605,-1.049
202,11327.387,1.0,0.673,2.0,3.0,0.0,-11325.894,4.59,-1.048
203,11326.343,0.603,0.728,2.0,3.0,0.0,-11323.453,4.566,-1.046
204,11327.705,0.978,0.656,2.0,5.0,0.0,-11327.446,4.591,-1.078
205,11327.42,0.979,0.646,1.0,3.0,0.0,-11326.436,4.586,-1.051
