draws,lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,b0,b1
101,9857.982,0.99,0.692,2.0,3.0,0.0,-9857.891,4.604,-0.317
102,9858.094,1.0,0.77,2.0,3.0,0.0,-9857.745,4.609,-0.296
103,9857.841,0.984,0.682,2.0,3.0,0.0,-9856.897,4.583,-0.277
104,9856.869,0.998,0.615,3.0,7.0,0.0,-9856.306,4.592,-0.345
105,9858.079,1.0,0.692,2.0,3.0,0.0,-9857.99,4.603,-0.309
106,9858.133,0.971,0.77,3.0,7.0,0.0,-9857.424,4.594,-0.275
107,9857.525,0.987,0.682,2.0,3.0,0.0,-9857.445,4.589,-0.235
108,9858.104,0.967,0.615,2.0,3.0,0.0,-9856.478,4.606,-0.306
109,9858.031,0.991,0.692,2.0,3.0,0.0,-9857.918,4.612,-0.298
110,9857.999,0.938,0.77,1.0,3.0,0.0,-9857.117,4.612,-0.311
111,9856.679,0.926,0.682,2.0,7.0,0.0,-9855.989,4.564,-0.235
112,9858.068,0.959,0.615,2.0,7.0,0.0,-9857.252,4.6,-0.268
113,9858.022,0.938,0.692,2.0,7.0,0.0,-9856.753,4.588,-0.276
114,9858.178,0.991,0.77,2.0,3.0,0.0,-9857.92,4.598,-0.29
115,9849.97,0.526,0.682,2.0,3.0,0.0,-9848.521,4.516,-0.254
116,9857.198,0.82,0.615,2.0,3.0,0.0,-9855.509,4.57,-0.268
117,9857.739,0.945,0.692,2.0,3.0,0.0,-9857.51,4.583,-0.292
118,9856.663,0.844,0.77,2.0,3.0,0.0,-9856.425,4.592,-0.211
119,9852.38,1.0,0.682,1.0,1.0,0.0,-9850.119,4.528,-0.24
120,9856.566,0.918,0.615,2.0,3.0,0.0,-9855.3,4.569,-0.213
121,9857.18,0.935,0.692,2.0,7.0,0.0,-9856.914,4.625,-0.279
122,9853.629,0.694,0.77,2.0,3.0,0.0,-9852.015,4.555,-0.155
123,9857.899,0.97,0.682,3.0,7.0,0.0,-9850.999,4.61,-0.322
124,9858.139,0.98,0.615,2.0,5.0,0.0,-9855.682,4.607,-0.297
125,9857.322,1.0,0.692,3.0,7.0,0.0,-9857.091,4.574,-0.282
126,9857.95,1.0,0.77,3.0,7.0,0.0,-9853.575,4.601,-0.317
127,9857.706,0.992,0.682,3.0,7.0,0.0,-9857.516,4.58,-0.259
128,9855.938,0.763,0.615,3.0,7.0,0.0,-9853.353,4.599,-0.375
129,9856.19,0.924,0.692,2.0,3.0,0.0,-9855.598,4.586,-0.197
130,9857.714,0.99,0.77,2.0,3.0,0.0,-9857.645,4.606,-0.332
131,9858.036,0.993,0.682,2.0,3.0,0.0,-9857.627,4.588,-0.278
132,9856.947,0.981,0.615,2.0,3.0,0.0,-9855.355,4.616,-0.361
133,9857.948,1.0,0.692,2.0,7.0,0.0,-9855.745,4.601,-0.317
134,9857.457,0.998,0.77,2.0,3.0,0.0,-9857.274,4.624,-0.33
135,9857.786,0.933,0.682,2.0,3.0,0.0,-9857.318,4.593,-0.247
136,9854.52,0.709,0.615,3.0,7.0,0.0,-9852.191,4.655,-0.311
137,9857.927,0.996,0.692,3.0,7.0,0.0,-9857.791,4.585,-0.277
138,9857.542,0.979,0.77,2.0,3.0,0.0,-9857.238,4.611,-0.34
139,9858.137,0.921,0.682,2.0,3.0,0.0,-9857.122,4.6,-0.3
140,9857.527,1.0,0.615,2.0,7.0,0.0,-9854.819,4.607,-0.34
141,9857.977,1.0,0.692,3.0,7.0,0.0,-9857.848,4.59,-0.259
142,9856.048,0.877,0.77,2.0,3.0,0.0,-9855.876,4.644,-0.324
143,9857.55,0.97,0.682,2.0,5.0,0.0,-9857.476,4.62,-0.333
144,9858.062,0.982,0.615,3.0,7.0,0.0,-9857.107,4.608,-0.282
145,9856.235,0.858,0.692,2.0,3.0,0.0,-9856.098,4.584,-0.198
146,9856.145,0.989,0.77,2.0,3.0,0.0,-9855.636,4.642,-0.31
147,9857.459,0.99,0.682,1.0,1.0,0.0,-9857.428,4.623,-0.332
148,9856.459,0.822,0.615,2.0,3.0,0.0,-9855.795,4.562,-0.272
149,9857.518,1.0,0.692,3.0,7.0,0.0,-9856.266,4.587,-0.315
150,9857.701,1.0,0.77,2.0,3.0,0.0,-9855.382,4.615,-0.275
151,9858.001,0.991,0.682,2.0,7.0,0.0,-9857.301,4.612,-0.289
152,9855.891,0.973,0.615,3.0,7.0,0.0,-9855.776,4.558,-0.284
153,9857.275,0.99,0.692,2.0,7.0,0.0,-9856.592,4.58,-0.228
154,9857.509,0.843,0.77,2.0,3.0,0.0,-9856.253,4.623,-0.293
155,9857.458,0.959,0.682,2.0,7.0,0.0,-9857.164,4.626,-0.306
156,9856.458,0.985,0.615,3.0,7.0,0.0,-9855.183,4.604,-0.368
157,9857.268,0.944,0.692,2.0,7.0,0.0,-9856.467,4.579,-0.305
158,9856.732,0.954,0.77,2.0,3.0,0.0,-9856.615,4.635,-0.303
159,9857.706,1.0,0.682,2.0,3.0,0.0,-9857.275,4.599,-0.326
160,9855.341,0.935,0.615,2.0,3.0,0.0,-9854.944,4.588,-0.372
161,9857.828,1.0,0.692,2.0,3.0,0.0,-9857.291,4.598,-0.252
162,9858.182,1.0,0.77,2.0,3.0,0.0,-9856.747,4.599,-0.291
163,9857.983,0.969,0.682,2.0,3.0,0.0,-9857.31,4.591,-0.298
164,9855.896,0.965,0.615,2.0,5.0,0.0,-9853.877,4.586,-0.191
165,9857.827,0.96,0.692,3.0,7.0,0.0,-9857.213,4.596,-0.317
166,9858.121,0.931,0.77,2.0,3.0,0.0,-9857.717,4.606,-0.303
167,9857.953,0.997,0.682,2.0,7.0,0.0,-9857.72,4.613,-0.313
168,9855.849,1.0,0.615,2.0,3.0,0.0,-9855.388,4.575,-0.189
169,9855.488,0.733,0.692,2.0,3.0,0.0,-9854.629,4.603,-0.387
170,9858.023,0.983,0.77,2.0,7.0,0.0,-9857.875,4.588,-0.275
171,9857.851,0.989,0.682,1.0,1.0,0.0,-9857.85,4.617,-0.315
172,9857.855,0.991,0.615,3.0,7.0,0.0,-9854.69,4.584,-0.285
173,9854.429,0.8,0.692,1.0,1.0,0.0,-9854.201,4.595,-0.396
174,9858.053,0.945,0.77,2.0,3.0,0.0,-9857.014,4.611,-0.302
175,9857.851,0.629,0.682,1.0,3.0,0.0,-9855.623,4.617,-0.315
176,9858.007,0.941,0.615,2.0,3.0,0.0,-9857.181,4.588,-0.266
177,9857.372,0.856,0.692,2.0,3.0,0.0,-9853.335,4.625,-0.332
178,9858.082,0.909,0.77,3.0,7.0,0.0,-9856.823,4.609,-0.305
179,9858.153,0.955,0.682,2.0,7.0,0.0,-9856.808,4.595,-0.286
180,9857.527,0.903,0.615,2.0,3.0,0.0,-9857.2,4.598,-0.239
181,9857.988,0.97,0.692,1.0,3.0,0.0,-9856.89,4.606,-0.317
182,9857.592,0.863,0.77,2.0,7.0,0.0,-9855.671,4.577,-0.264
183,9857.103,0.937,0.682,3.0,7.0,0.0,-9856.873,4.578,-0.223
184,9855.942,0.941,0.615,2.0,3.0,0.0,-9855.789,4.555,-0.244
185,9857.937,0.874,0.692,3.0,7.0,0.0,-9854.487,4.595,-0.31
186,9857.331,0.748,0.77,2.0,3.0,0.0,-9855.04,4.59,-0.228
187,9856.964,0.987,0.682,1.0,1.0,0.0,-9856.915,4.577,-0.218
188,9856.222,1.0,0.615,1.0,1.0,0.0,-9855.89,4.558,-0.241
189,9858.132,1.0,0.692,2.0,3.0,0.0,-9857.969,4.607,-0.291
190,9857.967,0.96,0.77,3.0,7.0,0.0,-9856.946,4.59,-0.295
191,9857.714,1.0,0.682,2.0,3.0,0.0,-9856.969,4.58,-0.255
192,9858.008,1.0,0.615,2.0,3.0,0.0,-9856.309,4.606,-0.273
193,9854.872,0.507,0.692,1.0,3.0,0.0,-9854.075,4.637,-0.249
194,9857.228,0.798,0.77,2.0,3.0,0.0,-9856.411,4.573,-0.283
195,9856.437,0.911,0.682,3.0,7.0,0.0,-9855.466,4.571,-0.206
196,9855.564,0.754,0.615,2.0,3.0,0.0,-9854.996,4.641,-0.278
